Id,Label,timeset,modularity_class,eigencentrality
1,,,16,0
2,,,81,0.009722
3,,,81,0.05941
4,,,41,0
5,,,12,0
6,,,81,0
7,,,81,0.009347
8,,,365,0.075292
9,,,365,0.045352
10,,,31,0.012022
11,,,36,0
12,,,36,0.081521
13,,,21,0
14,,,1,0.005703
15,,,1,0.028344
16,,,0,0.160722
17,,,41,0
18,,,36,0
19,,,4,0.002912
20,,,365,0.001328
21,,,15,0.003718
22,,,1,0
23,,,1,0
24,,,2,0
25,,,15,0.007323
26,,,36,0.003809
27,,,1,0
28,,,0,0
29,,,16,0.060652
30,,,16,0
31,,,16,0
32,,,16,0.001469
33,,,16,0.019994
34,,,16,0.005262
35,,,16,0.075662
36,,,7,0.00414
37,,,9,0.009985
38,,,2,0.086772
39,,,24,0.025045
40,,,24,0
41,,,15,0.003144
42,,,15,0.034455
43,,,37,0.0289
44,,,15,0
45,,,8,0
46,,,4,0.092377
47,,,365,0.060698
48,,,365,0.000974
49,,,6,0.018367
50,,,365,0.003396
51,,,36,0.529788
52,,,15,0.043957
53,,,15,0.002913
54,,,6,0
55,,,3,0.0032
56,,,16,0.350721
57,,,365,0.00192
58,,,9,0.132005
59,,,68,0.002102
60,,,37,0.12499
61,,,365,0
62,,,3,0.013206
63,,,3,0.016888
64,,,3,0
65,,,7,0
66,,,186,0.112192
67,,,186,0.046042
68,,,15,0
69,,,81,0.041819
70,,,81,0
71,,,15,0.014891
72,,,4,1
73,,,4,0.044168
74,,,1,0.068994
75,,,186,0.034249
76,,,41,0
77,,,186,0
78,,,186,0.027147
79,,,186,0
80,,,37,0.039216
81,,,2,0
82,,,186,0.044275
83,,,365,0
84,,,17,0.008776
85,,,201,0.197542
86,,,29,0.077986
87,,,201,0
88,,,36,0.209937
89,,,9,0
90,,,13,0
91,,,41,0
92,,,41,0.009189
93,,,186,0.002726
94,,,41,0
95,,,34,0.009955
96,,,365,0.227293
97,,,5,0.514781
98,,,2,0.002608
99,,,365,0
100,,,40,0
101,,,365,0
102,,,365,0.003815
103,,,365,0
104,,,136,0.006963
105,,,36,0.087966
106,,,68,0.125721
107,,,9,0.024921
108,,,68,0.002969
109,,,9,0
110,,,18,0.003036
111,,,27,0.001643
112,,,3,0.026996
113,,,365,0.023209
114,,,41,0.043598
115,,,34,0
116,,,41,0.00114
117,,,36,0.166122
118,,,36,0.08586
119,,,36,0
120,,,6,0.550908
121,,,44,0.055221
122,,,2,0.009429
123,,,36,0
124,,,2,0.063303
125,,,12,0.067237
126,,,37,0.017587
127,,,68,0.655541
128,,,12,0
129,,,34,0.016445
130,,,31,0.034365
131,,,12,0.119054
132,,,31,0
