Source Target Type Id Label timeset weight timestamp
71 72 Directed 58  <[1225430845.0]> 1 1225430845
73 72 Directed 59  <[1226323729.0]> 2 1226323729
72 1014 Directed 969  <[1225384830.0]> 1 1225384830
1665 72 Directed 2793  <[1225393071.0]> 1 1225393071
2606 72 Directed 2794  <[1225434486.0]> 1 1225434486
2877 72 Directed 3121  <[1225384686.0]> 1 1225384686
86 72 Directed 3122  <[1225385659.0]> 1 1225385659
2878 72 Directed 3123  <[1225386278.0]> 1 1225386278
180 72 Directed 3124  <[1225391594.0]> 1 1225391594
2879 72 Directed 3125  <[1225401695.0]> 1 1225401695
1149 72 Directed 3126  <[1225408115.0]> 1 1225408115
2880 72 Directed 3127  <[1225461019.0]> 1 1225461019
761 72 Directed 3212  <[1225464280.0]> 2 1225464280
72 72 Directed 3213  <[1225548362.0]> 2 1225548362
362 72 Directed 3215  <[1225470595.0]> 1 1225470595
2950 72 Directed 3216  <[1225470672.0]> 1 1225470672
388 72 Directed 3273  <[1225448698.0]> 1 1225448698
204 72 Directed 3274  <[1225448889.0]> 1 1225448889
2979 72 Directed 3275  <[1225448987.0]> 1 1225448987
1011 72 Directed 3276  <[1225450345.0]> 1 1225450345
2989 72 Directed 3277  <[1225451491.0]> 1 1225451491
1818 72 Directed 3278  <[1225453241.0]> 1 1225453241
2990 72 Directed 3279  <[1225461654.0]> 1 1225461654
2421 72 Directed 3280  <[1225463585.0]> 1 1225463585
528 72 Directed 3281  <[1225465263.0]> 1 1225465263
2991 72 Directed 3282  <[1225477617.0]> 1 1225477617
286 72 Directed 3283  <[1225552960.0]> 2 1225552960
3176 72 Directed 3542  <[1225435155.0]> 1 1225435155
2634 72 Directed 3543  <[1225445918.0]> 1 1225445918
72 5186 Directed 6481  <[1225475662.0]> 1 1225475662
72 6110 Directed 8037  <[1225478363.0]> 1 1225478363
72 5407 Directed 9342  <[1225475542.0]> 1 1225475542
3577 72 Directed 9791  <[1225500639.0]> 1 1225500639
6456 72 Directed 9792  <[1225516622.0]> 2 1225516622
1129 72 Directed 9902  <[1225544654.0]> 1 1225544654
7120 72 Directed 9904  <[1225551037.0]> 1 1225551037
7124 72 Directed 9915  <[1225507055.0]> 1 1225507055
277 72 Directed 9916  <[1225525363.0]> 1 1225525363
2642 72 Directed 9920  <[1225506846.0]> 1 1225506846
931 72 Directed 9921  <[1225512539.0]> 1 1225512539
7135 72 Directed 9947  <[1225504531.0]> 1 1225504531
7136 72 Directed 9948  <[1225505417.0]> 1 1225505417
7137 72 Directed 9949  <[1225522223.0]> 1 1225522223
72 2000 Directed 10358  <[1225548167.0]> 1 1225548167
1671 72 Directed 10540  <[1225515456.0]> 1 1225515456
2756 72 Directed 10541  <[1225518862.0]> 1 1225518862
1128 72 Directed 10542  <[1225519764.0]> 1 1225519764
4765 72 Directed 10543  <[1225520776.0]> 1 1225520776
7410 72 Directed 10544  <[1225521700.0]> 1 1225521700
5486 72 Directed 10545  <[1225523666.0]> 1 1225523666
7411 72 Directed 10546  <[1225524692.0]> 1 1225524692
2316 72 Directed 10547  <[1225527335.0]> 1 1225527335
2303 72 Directed 10548  <[1225528104.0]> 1 1225528104
555 72 Directed 10549  <[1225529018.0]> 1 1225529018
1494 72 Directed 10550  <[1225530863.0]> 1 1225530863
3702 72 Directed 10551  <[1226092605.0]> 2 1226092605
7412 72 Directed 10552  <[1225535015.0]> 1 1225535015
716 72 Directed 10553  <[1225543708.0]> 1 1225543708
1926 72 Directed 10554  <[1225552675.0]> 1 1225552675
992 72 Directed 10556  <[1225558398.0]> 1 1225558398
7413 72 Directed 10557  <[1225559414.0]> 1 1225559414
7414 72 Directed 10558  <[1225565434.0]> 1 1225565434
7077 72 Directed 10559  <[1225569745.0]> 1 1225569745
72 725 Directed 10645  <[1225488732.0]> 1 1225488732
72 7476 Directed 10675  <[1225488622.0]> 1 1225488622
72 7480 Directed 10681  <[1225488533.0]> 1 1225488533
72 591 Directed 10701  <[1225582018.0]> 2 1225582018
