Source,Target,Type,Id,Label,timeset,Weight,timestamp
249,246,Directed,215,,,1,1225377522
361,361,Directed,318,,,1,1225333227
783,783,Directed,740,,,1,1225511867
472,472,Directed,813,,,17,1226493672
877,1165,Directed,1141,,,1,1225367760
1210,1210,Directed,1179,,,1,1225366656
1247,1247,Directed,1217,,,1,1225368616
274,274,Directed,1237,,,10,1226494127
465,465,Directed,1313,,,2,1225927020
728,728,Directed,1347,,,1,1225374682
1542,1542,Directed,1550,,,1,1225796116
1674,1674,Directed,1706,,,1,1225370070
636,636,Directed,1724,,,2,1225875077
1654,1654,Directed,1734,,,3,1225797229
1733,1733,Directed,1772,,,1,1225429157
121,121,Directed,1775,,,1,1225371560
1784,1784,Directed,1827,,,1,1225373907
1666,1666,Directed,1858,,,2,1225879834
1242,1242,Directed,1955,,,1,1225385813
1919,1919,Directed,1976,,,1,1225382802
1976,1976,Directed,2050,,,1,1226409616
2020,2020,Directed,2093,,,1,1225379949
2024,2024,Directed,2165,,,1,1225377295
390,390,Directed,2210,,,5,1226465691
1363,1363,Directed,2281,,,1,1225374679
2262,2262,Directed,2354,,,1,1225375094
1646,1646,Directed,2369,,,1,1225381804
1070,850,Directed,2394,,,1,1225376381
2393,2393,Directed,2547,,,1,1225376665
2436,286,Directed,2574,,,1,1225382349
2571,2571,Directed,2746,,,1,1225379120
2558,2558,Directed,2760,,,1,1225443704
853,853,Directed,2770,,,1,1225551881
2592,2592,Directed,2776,,,1,1225423153
1977,1977,Directed,2807,,,1,1225431061
992,992,Directed,2818,,,1,1225399402
2638,2638,Directed,2836,,,1,1225383465
2650,2650,Directed,2850,,,1,1225381311
2667,2667,Directed,2867,,,1,1225552287
1922,2130,Directed,2870,,,1,1225391071
2730,2730,Directed,2944,,,1,1225381941
2799,2799,Directed,3022,,,1,1225382895
1048,1048,Directed,3033,,,3,1226354058
2834,2834,Directed,3067,,,1,1225436863
2843,2843,Directed,3080,,,3,1226059908
2861,2861,Directed,3102,,,4,1225647856
2871,2871,Directed,3112,,,1,1225392975
2820,2820,Directed,3187,,,2,1226070568
873,873,Directed,3210,,,1,1225452344
72,72,Directed,3213,,,2,1225548362
837,837,Directed,3233,,,3,1226518263
3005,3004,Directed,3299,,,1,1225388564
3035,330,Directed,3355,,,1,1225386205
1055,1055,Directed,3464,,,1,1225415238
3118,3118,Directed,3467,,,6,1225827313
3124,264,Directed,3475,,,1,1225411543
2242,2242,Directed,3544,,,1,1225389898
286,2436,Directed,3557,,,1,1225391689
2987,2987,Directed,3566,,,1,1225390793
3004,3005,Directed,3624,,,1,1225389962
1131,1131,Directed,3678,,,1,1225396401
831,831,Directed,3684,,,1,1225449976
2130,1922,Directed,3717,,,1,1225394058
2478,2478,Directed,3747,,,1,1225391705
3401,3401,Directed,3819,,,1,1225395336
3396,3396,Directed,3868,,,1,1225397348
3481,3481,Directed,3938,,,2,1225395523
3539,3539,Directed,4032,,,1,1225393940
3624,3624,Directed,4171,,,1,1225394540
3655,3655,Directed,4215,,,1,1225396977
3685,3685,Directed,4248,,,1,1226022478
88,88,Directed,4361,,,1,1225445179
3592,3813,Directed,4428,,,1,1225398327
3813,3592,Directed,4429,,,1,1225398859
3892,155,Directed,4540,,,1,1225413130
3943,3943,Directed,4619,,,1,1225902017
2879,2879,Directed,4678,,,1,1225405403
4017,4017,Directed,4715,,,1,1225406016
1391,1391,Directed,4731,,,3,1226192241
2362,2362,Directed,4767,,,2,1226375386
1882,1882,Directed,4806,,,1,1225431871
4089,451,Directed,4835,,,1,1225405812
4124,4124,Directed,4892,,,1,1225406482
451,451,Directed,5199,,,6,1226382873
4333,4333,Directed,5214,,,1,1225419434
4511,4511,Directed,5480,,,1,1225522553
4631,4631,Directed,5644,,,1,1225428559
4690,4690,Directed,5724,,,1,1225436285
1257,1257,Directed,5729,,,1,1225620794
4709,4709,Directed,5746,,,1,1225447325
823,2316,Directed,5786,,,1,1225455014
3193,3193,Directed,5822,,,1,1225433570
4754,4754,Directed,5825,,,1,1225434278
4817,4817,Directed,5912,,,1,1225435242
4024,4024,Directed,5929,,,1,1225537153
4844,4844,Directed,5944,,,1,1225437451
448,448,Directed,6016,,,1,1225431341
4921,4921,Directed,6059,,,1,1225432545
3980,3980,Directed,6150,,,1,1225433406
3532,3532,Directed,6419,,,1,1225443424
5194,5194,Directed,6493,,,2,1226253827
1647,1647,Directed,6598,,,1,1225893035
331,2303,Directed,6629,,,1,1225438740
5366,5366,Directed,6804,,,1,1225444825
5507,5507,Directed,7043,,,2,1225460008
5199,5199,Directed,7051,,,1,1225443295
5513,5513,Directed,7059,,,1,1225442701
5394,5394,Directed,7112,,,1,1225453170
4962,4962,Directed,7203,,,3,1225699164
5632,5632,Directed,7253,,,1,1225703277
5662,5662,Directed,7317,,,1,1225445967
825,825,Directed,7332,,,3,1226321377
5702,5702,Directed,7384,,,1,1225498947
5756,5756,Directed,7478,,,1,1225535893
331,3967,Directed,7534,,,2,1225644023
5821,575,Directed,7587,,,1,1225450132
5840,5840,Directed,7614,,,1,1225448215
120,120,Directed,7700,,,2,1225456509
1580,1580,Directed,7763,,,1,1225450270
3500,3500,Directed,7779,,,1,1225449337
1404,1404,Directed,7951,,,16,1226466855
1236,1562,Directed,8027,,,1,1225455586
6116,6116,Directed,8056,,,1,1225523124
6140,6140,Directed,8090,,,1,1225453085
1527,1527,Directed,8482,,,7,1225734638
6389,6389,Directed,8496,,,1,1225468209
6391,6391,Directed,8518,,,1,1225479360
6448,6448,Directed,8583,,,1,1225523769
331,1260,Directed,8584,,,1,1225457651
6462,6462,Directed,8599,,,1,1225462570
4704,4704,Directed,8613,,,3,1226411570
5006,5006,Directed,8672,,,1,1225458532
6526,6526,Directed,8713,,,1,1225458787
1663,1663,Directed,8867,,,1,1225488352
6596,6596,Directed,8871,,,1,1225486204
