Source,Target,Type,Id,Label,timeset,Weight,timestamp
249,246,Directed,87842,0,0,1,1225377522
877,1165,Directed,88768,0,0,1,1225367760
1070,850,Directed,90021,0,0,1,1225376381
2436,286,Directed,90201,0,0,1,1225382349
1922,2130,Directed,90497,0,0,1,1225391071
3005,3004,Directed,90926,0,0,1,1225388564
3035,330,Directed,90982,0,0,1,1225386205
3124,264,Directed,91102,0,0,1,1225411543
286,2436,Directed,91184,0,0,1,1225391689
3004,3005,Directed,91251,0,0,1,1225389962
2130,1922,Directed,91344,0,0,1,1225394058
3592,3813,Directed,92055,0,0,1,1225398327
3813,3592,Directed,92056,0,0,1,1225398859
3892,155,Directed,92167,0,0,1,1225413130
4089,451,Directed,92462,0,0,1,1225405812
823,2316,Directed,93413,0,0,1,1225455014
331,2303,Directed,94256,0,0,1,1225438740
331,3967,Directed,95161,0,0,2,1225644023
5821,575,Directed,95214,0,0,1,1225450132
1236,1562,Directed,95654,0,0,1,1225455586
331,1260,Directed,96211,0,0,1,1225457651
331,476,Directed,97091,0,0,5,1225732943
476,4913,Directed,97138,0,0,1,1225469114
2752,476,Directed,97328,0,0,5,1226515952
72,2000,Directed,97985,0,0,1,1225548167
474,5735,Directed,98196,0,0,2,1226351715
7377,286,Directed,98320,0,0,6,1225612462
286,7377,Directed,98464,0,0,1,1225495434
1699,451,Directed,99648,0,0,1,1225535872
420,51,Directed,99934,0,0,2,1226132041
5735,474,Directed,100145,0,0,1,1225534757
191,476,Directed,100223,0,0,1,1225552336
6723,5008,Directed,102260,0,0,2,1226034744
1220,56,Directed,102441,0,0,1,1225589441
264,3124,Directed,103013,0,0,1,1225577260
2000,72,Directed,104048,0,0,1,1225587184
476,2752,Directed,104251,0,0,1,1225694256
3806,10412,Directed,104772,0,0,1,1225608750
10412,3806,Directed,105358,0,0,1,1225631344
16,4679,Directed,105880,0,0,1,1225629167
4679,16,Directed,106287,0,0,2,1225639997
5079,476,Directed,106293,0,0,1,1225630757
5189,2303,Directed,107073,0,0,3,1226236188
1070,10697,Directed,107210,0,0,1,1225667653
476,331,Directed,107675,0,0,1,1225645609
1904,1925,Directed,107780,0,0,1,1225655369
575,445,Directed,107882,0,0,2,1225909840
10697,1070,Directed,107979,0,0,1,1225718859
445,575,Directed,108153,0,0,1,1225710479
476,5079,Directed,108175,0,0,1,1225650799
2572,12168,Directed,108691,0,0,1,1225656624
476,191,Directed,110046,0,0,2,1225806443
2752,4565,Directed,110681,0,0,1,1225700788
4565,2752,Directed,111131,0,0,1,1225702922
