Id,Label,timeset,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality,modularity_class,pageranks,indegree,outdegree,Degree
1,,,11,0.186803,0.195564,0,0,0,0.000011,0,9,9
2,,,0,0,0,0,0.009722,0,0.00003,5,0,5
3,,,10,0.21853,0.233724,877529.992081,0.05941,0,0.000186,21,27,48
4,,,11,0.173807,0.181158,0,0,0,0.000011,0,5,5
5,,,10,0.22876,0.246653,0,0,0,0.000011,0,41,41
6,,,1,1,1,0,0,0,0.000011,0,1,1
7,,,11,0.210935,0.224431,107334.999429,0.009347,0,0.000026,4,23,27
8,,,11,0.174377,0.181777,167468.424567,0.075292,0,0.000268,25,2,27
9,,,10,0.208022,0.219919,260706.000736,0.045352,0,0.000066,11,7,18
10,,,10,0.228213,0.243836,264491.523665,0.012022,0,0.000053,7,17,24
11,,,1,1,1,0,0,0,0.000011,0,1,1
12,,,0,0,0,0,0.081521,0,0.000145,10,0,10
13,,,11,0.165609,0.171455,0,0,0,0.000011,0,3,3
14,,,11,0.196722,0.207959,27720.103436,0.005703,0,0.000023,3,6,9
15,,,0,0,0,0,0.028344,0,0.000058,13,0,13
16,,,11,0.208522,0.222548,1457745.838237,0.160722,0,0.000375,59,40,99
17,,,12,0.162947,0.169044,0,0,0,0.000011,0,6,6
18,,,11,0.185429,0.1947,0,0,0,0.000011,0,15,15
19,,,12,0.177713,0.185696,24762.346589,0.002912,0,0.000024,1,4,5
20,,,11,0.209998,0.223215,31169.968813,0.001328,0,0.000013,1,12,13
21,,,11,0.200113,0.210951,48344.156666,0.003718,0,0.000016,2,10,12
22,,,1,1,1,0,0,0,0.000011,0,1,1
23,,,1,1,1,0,0,0,0.000011,0,2,2
24,,,11,0.178118,0.185842,0,0,0,0.000011,0,5,5
25,,,11,0.170927,0.178276,73235.061543,0.007323,0,0.000046,3,11,14
26,,,11,0.183668,0.192617,5692.921961,0.003809,0,0.000016,2,6,8
27,,,11,0.181062,0.189084,0,0,0,0.000011,0,3,3
28,,,11,0.182943,0.191858,0,0,0,0.000011,0,6,6
29,,,0,0,0,0,0.060652,0,0.000067,11,0,11
30,,,1,1,1,0,0,0,0.000011,0,1,1
31,,,13,0.155596,0.160528,0,0,26,0.000011,0,2,2
32,,,13,0.147486,0.152056,1146.407545,0.001469,0,0.000015,1,5,6
33,,,10,0.221896,0.238248,497614.671983,0.019994,0,0.00004,6,43,49
34,,,12,0.165844,0.172097,17804.361491,0.005262,0,0.000023,4,4,8
35,,,11,0.176824,0.184566,261410.88884,0.075662,0,0.000256,28,4,32
